problemid,compexity
1000,16
1001,15
1002,218
1003,380
1004,563
1005,87
1006,924
1007,381
1008,346
1009,94
1010,275
1011,236
1012,173
1013,188
1014,98
1015,426
1016,774
1017,154
1018,288
1019,440
1020,100
1021,142
1022,138
1023,205
1024,303
1025,67
1026,156
1027,586
1028,259
1029,339
1030,837
1031,369
1032,296
1033,229
1034,758
1035,1314
1036,297
1037,1149
1038,456
1039,375
1040,973
1041,2112
1042,796
1043,1582
1044,119
1045,505
1046,1816
1047,302
1048,191
1049,239
1050,1361
1051,497
1052,226
1053,318
1054,650
1055,398
1056,529
1057,698
1058,2834
1059,635
1060,354
1061,620
1062,1804
1063,2137
1064,617
1065,1365
1066,549
1067,525
1068,38
1069,514
1070,630
1071,594
1072,484
1073,149
1074,2059
1075,2036
1076,674
1077,400
1078,371
1079,109
1080,241
1081,257
1082,119
1083,68
1084,147
1085,596
1086,108
1087,277
1088,700
1089,458
1090,348
1091,512
1092,2216
1093,1932
1094,434
1095,554
1096,679
1097,1354
1098,527
1099,1151
1100,45
1101,550
1102,170
1103,494
1104,93
1105,820
1106,76
1107,415
1108,245
1109,245
1110,52
1111,394
1112,198
1113,260
1114,186
1115,409
1116,319
1117,271
1118,102
1119,73
1120,87
1121,338
1122,239
1123,119
1124,301
1125,226
1126,99
1127,311
1128,408
1129,443
1130,931
1131,75
1132,589
1133,219
1134,180
1135,162
1136,99
1137,344
1138,198
1139,77
1140,366
1141,363
1142,148
1143,565
1144,1833
1145,382
1146,80
1147,789
1148,1762
1149,61
1150,240
1151,1041
1152,161
1153,296
1154,865
1155,389
1156,326
1157,166
1158,500
1159,726
1160,270
1161,91
1162,409
1163,1928
1164,198
1165,885
1166,3571
1167,135
1168,716
1169,715
1170,1478
1171,1301
1172,554
1173,1054
1174,686
1175,941
1176,357
1177,1312
1178,145
1179,281
1180,86
1181,436
1182,506
1183,204
1184,290
1185,305
1186,682
1187,2012
1188,2115
1189,490
1190,304
1191,241
1192,109
1193,179
1194,80
1195,252
1196,56
1197,29
1198,511
1199,3642
1200,250
1201,350
1202,441
1203,86
1204,226
1205,228
1206,119
1207,204
1208,210
1209,36
1210,146
1211,318
1212,503
1213,167
1214,100
1215,298
1216,2041
1217,406
1218,321
1219,116
1220,271
1221,418
1222,138
1223,317
1224,67
1225,37
1226,111
1227,305
1228,104
1229,372
1230,732
1231,2126
1232,2366
1233,941
1234,665
1235,742
1236,495
1237,956
1238,427
1239,2943
1240,1392
1241,1652
1242,203
1243,50
1244,259
1245,920
1246,333
1247,235
1248,652
1249,212
1250,709
1251,1651
1252,397
1253,680
1254,639
1255,269
1256,2263
1257,1719
1258,416
1259,391
1260,111
1261,335
1262,379
1263,44
1264,23
1265,1500
1266,1462
1267,1941
1268,745
1269,846
1270,2424
1271,4587
1272,151
1273,472
1274,680
1275,2722
1276,773
1277,784
1278,983
1279,417
1280,143
1281,1393
1282,334
1283,119
1284,2350
1285,1667
1286,680
1287,372
1288,2217
1289,388
1290,79
1291,398
1292,367
1293,16
1294,309
1295,151
1296,88
1297,83
1298,259
1299,1479
1300,2752
1301,735
1302,336
1303,208
1304,1928
1305,703
1306,143
1307,1283
1308,2786
1309,620
1310,1148
1311,1435
1312,2888
1313,36
1314,625
1315,1946
1316,438
1317,1082
1318,1406
1319,40
1320,299
1321,1334
1322,431
1323,817
1324,957
1325,554
1326,426
1327,47
1328,1365
1329,464
1330,99
1331,997
1332,620
1333,216
1334,527
1335,176
1336,121
1337,1569
1338,1761
1339,901
1340,4853
1341,1130
1342,768
1343,433
1344,4445
1345,1395
1346,297
1347,1388
1348,191
1349,52
1350,389
1351,528
1352,129
1353,105
1354,146
1355,215
1356,347
1357,1193
1358,550
1359,1227
1360,1342
1361,2247
1362,468
1363,5740
1364,966
1365,4862
1366,524
1367,3094
1368,2456
1369,13234
1370,92
1371,538
1372,5757
1373,856
1374,11378
1375,550
1376,9752
1377,291
1378,1489
1379,692
1380,4016
1381,3540
1382,1790
1383,14057
1384,5139
1385,241
1386,1154
1387,1552
1388,16481
1389,584
1390,9754
1391,5311
1392,755
1393,1163
1394,21726
1395,2607
1396,2013
1397,1768
1398,881
1399,10741
1400,544
1401,409
1402,128
